epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6588,1.4275,2.62858,1.25008,0.0061,0.72414,0.34139,0.16744,1.34108,3.65269,1.21983,0.00064,0.00064,0.00064
2,36.4493,1.44347,1.85577,1.24381,0.37235,0.2069,0.18298,0.07457,1.55695,3.36634,1.3769,0.00127426,0.00127426,0.00127426
3,51.0207,1.50887,1.73793,1.30255,0.79678,0.55172,0.64772,0.27387,1.7299,2.49403,1.66303,0.00188238,0.00188238,0.00188238
4,65.675,1.46101,1.48298,1.27011,0.85652,0.69991,0.79956,0.42685,1.49338,1.89409,1.43614,0.0018812,0.0018812,0.0018812
5,80.9332,1.43863,1.31614,1.27058,0.87679,0.73793,0.80306,0.40787,1.68217,1.42896,1.50647,0.0018416,0.0018416,0.0018416
6,95.6578,1.41814,1.20382,1.24301,0.73513,0.77241,0.77141,0.40312,1.42321,1.48035,1.31682,0.001802,0.001802,0.001802
7,110.273,1.44975,1.13849,1.27716,0.73788,0.84828,0.7979,0.45063,1.3979,1.23362,1.27717,0.0017624,0.0017624,0.0017624
8,124.837,1.43229,1.06804,1.23971,0.76934,0.8281,0.84858,0.43304,1.52529,1.25612,1.40806,0.0017228,0.0017228,0.0017228
9,139.281,1.36108,0.9913,1.22206,0.86504,0.8,0.87853,0.48299,1.41666,1.06659,1.37223,0.0016832,0.0016832,0.0016832
10,153.919,1.35839,0.95534,1.22366,0.89241,0.8069,0.89189,0.51379,1.41726,0.99112,1.28988,0.0016436,0.0016436,0.0016436
11,168.768,1.36388,0.97141,1.22877,0.91464,0.66207,0.79915,0.4503,1.45865,1.24013,1.42613,0.001604,0.001604,0.001604
12,183.131,1.33666,0.92102,1.22171,0.92352,0.74948,0.88348,0.48958,1.44733,0.95349,1.31314,0.0015644,0.0015644,0.0015644
13,197.529,1.31771,0.86561,1.18903,0.8945,0.81863,0.89473,0.49824,1.42284,0.93134,1.3262,0.0015248,0.0015248,0.0015248
14,211.926,1.30013,0.87438,1.16285,0.85154,0.84828,0.90216,0.50933,1.43191,0.88193,1.3133,0.0014852,0.0014852,0.0014852
15,226.394,1.3106,0.88029,1.19066,0.93213,0.75769,0.88237,0.49864,1.52633,0.89754,1.36562,0.0014456,0.0014456,0.0014456
16,240.822,1.29433,0.81023,1.14989,0.86621,0.84839,0.90594,0.52328,1.36627,0.84558,1.28414,0.001406,0.001406,0.001406
17,255.208,1.26183,0.8022,1.17334,0.92501,0.82759,0.90686,0.52696,1.37796,0.7829,1.31659,0.0013664,0.0013664,0.0013664
18,269.632,1.27113,0.80547,1.16851,0.96073,0.82759,0.90909,0.52048,1.33606,0.79661,1.25379,0.0013268,0.0013268,0.0013268
19,283.998,1.2844,0.78938,1.16301,0.93111,0.83897,0.91388,0.5096,1.49504,0.79381,1.30328,0.0012872,0.0012872,0.0012872
20,298.431,1.24889,0.75518,1.16379,0.89711,0.85517,0.91634,0.52613,1.38111,0.7978,1.29499,0.0012476,0.0012476,0.0012476
21,312.773,1.20328,0.73969,1.14477,0.947,0.86263,0.92057,0.551,1.28839,0.78251,1.27795,0.001208,0.001208,0.001208
22,327.246,1.26021,0.75289,1.15789,0.92509,0.85166,0.93163,0.5179,1.44643,0.83836,1.32866,0.0011684,0.0011684,0.0011684
23,341.638,1.20635,0.74999,1.1284,0.92346,0.87586,0.92176,0.53622,1.41977,0.74408,1.29638,0.0011288,0.0011288,0.0011288
24,356.076,1.20307,0.69789,1.11671,0.88589,0.85663,0.91158,0.53273,1.41702,0.7583,1.29841,0.0010892,0.0010892,0.0010892
25,370.467,1.20255,0.70347,1.11655,0.92554,0.85723,0.92111,0.52975,1.36919,0.77069,1.29858,0.0010496,0.0010496,0.0010496
26,384.92,1.17347,0.67156,1.13124,0.89366,0.88966,0.92315,0.53829,1.36186,0.74185,1.27477,0.00101,0.00101,0.00101
27,399.346,1.17228,0.68976,1.11884,0.86897,0.88276,0.92813,0.52746,1.41029,0.75507,1.31863,0.0009704,0.0009704,0.0009704
28,413.902,1.18874,0.69455,1.13662,0.87841,0.89683,0.93819,0.53895,1.43859,0.72438,1.31481,0.0009308,0.0009308,0.0009308
29,428.462,1.15425,0.6683,1.10325,0.90069,0.87572,0.92562,0.54081,1.32176,0.70034,1.29101,0.0008912,0.0008912,0.0008912
30,442.937,1.17182,0.67649,1.12153,0.90906,0.87586,0.91666,0.54554,1.37168,0.70607,1.29581,0.0008516,0.0008516,0.0008516
31,457.434,1.15876,0.63567,1.09881,0.89764,0.90721,0.93162,0.5657,1.3007,0.69049,1.20411,0.000812,0.000812,0.000812
32,471.936,1.1322,0.63254,1.07592,0.89006,0.89655,0.9164,0.57984,1.25911,0.68915,1.20575,0.0007724,0.0007724,0.0007724
33,486.477,1.15387,0.64161,1.10589,0.91099,0.86207,0.92314,0.56514,1.27921,0.67194,1.22219,0.0007328,0.0007328,0.0007328
34,501.068,1.07344,0.59749,1.09282,0.91388,0.87819,0.92216,0.56823,1.29464,0.67121,1.22886,0.0006932,0.0006932,0.0006932
35,515.786,1.07702,0.59459,1.08646,0.90491,0.90345,0.93499,0.56646,1.28789,0.64269,1.22919,0.0006536,0.0006536,0.0006536
36,530.437,1.05294,0.60224,1.05555,0.91176,0.86897,0.91804,0.56176,1.29203,0.67252,1.23311,0.000614,0.000614,0.000614
37,545.002,1.10175,0.60641,1.08477,0.90233,0.87586,0.91505,0.53552,1.31899,0.686,1.26005,0.0005744,0.0005744,0.0005744
38,559.726,1.04136,0.57331,1.05536,0.88868,0.88966,0.89607,0.52576,1.44667,0.70224,1.29726,0.0005348,0.0005348,0.0005348
39,574.273,1.05255,0.57639,1.08098,0.93957,0.86897,0.93528,0.56001,1.33756,0.64765,1.27195,0.0004952,0.0004952,0.0004952
40,588.838,1.02498,0.57012,1.06193,0.92538,0.85526,0.9219,0.56184,1.34237,0.65847,1.28084,0.0004556,0.0004556,0.0004556
41,667.631,1.03003,0.56586,1.08909,0.96169,0.86559,0.93229,0.56241,1.3304,0.68043,1.28775,0.000416,0.000416,0.000416
42,682.33,1.02797,0.53777,1.08764,0.93069,0.86897,0.91907,0.52844,1.36096,0.6882,1.29758,0.0003764,0.0003764,0.0003764
43,696.823,1.00507,0.53678,1.06396,0.93484,0.85517,0.91717,0.54778,1.36159,0.64496,1.29348,0.0003368,0.0003368,0.0003368
44,711.342,0.99744,0.51375,1.04925,0.89062,0.88276,0.91792,0.58104,1.30884,0.61522,1.27667,0.0002972,0.0002972,0.0002972
45,726.296,0.94463,0.49805,1.03613,0.88031,0.91302,0.93488,0.57527,1.34579,0.62439,1.28678,0.0002576,0.0002576,0.0002576
46,741.038,0.96036,0.49283,1.04204,0.90009,0.86981,0.92526,0.56367,1.33899,0.65109,1.28737,0.000218,0.000218,0.000218
47,755.551,0.95408,0.4877,1.03385,0.92123,0.88721,0.94332,0.57967,1.3033,0.61835,1.27214,0.0001784,0.0001784,0.0001784
48,769.985,0.91502,0.47278,1.01502,0.8963,0.89409,0.93792,0.58119,1.28239,0.61946,1.26975,0.0001388,0.0001388,0.0001388
49,784.363,0.88956,0.45769,1.01071,0.91998,0.87218,0.9383,0.58872,1.29507,0.61622,1.28067,9.92e-05,9.92e-05,9.92e-05
50,798.816,0.90491,0.45958,1.02535,0.9009,0.88966,0.93874,0.59362,1.29771,0.61365,1.28272,5.96e-05,5.96e-05,5.96e-05
